VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,SOL_DATE,ARRIVAL_DATE,END_OF_LOCKAGE,TIMEZONE,MMSI,Unnamed: 0,DELAY_MINS,SEQ_NO
BOLD VENTURE,1301090,D,1,10/26/23 06:10,10/25/23 09:32,10/26/23 06:30,CST,368132340.0,38.0,,
ALYS,1233341,U,2,10/25/23 23:45,10/25/23 09:24,10/26/23 00:10,CST,368272520.0,39.0,,
CAPT PIC NAQUIN (TOW 2011),1230958,U,2,10/25/23 22:55,10/25/23 06:20,10/25/23 23:10,CST,367477560.0,40.0,,
RESPONDER,543900,U,3,10/25/23 22:25,10/25/23 05:26,10/25/23 22:35,CST,368286840.0,41.0,,
SAINT CHARLES (TOW 2009),1223316,U,2,10/25/23 21:50,10/25/23 04:49,10/25/23 22:20,CST,367430030.0,42.0,,
MARTIN CHALLENGER (TOW),1051672,U,2,10/25/23 20:50,10/25/23 04:46,10/25/23 21:30,CST,366874920.0,43.0,,
STEVE RICHOUX (TOW),568988,U,3,10/25/23 20:20,10/25/23 04:35,10/25/23 20:30,CST,366998110.0,44.0,,
LAFITTE,1242386,D,2,10/26/23 05:25,10/25/23 03:34,10/26/23 05:55,CST,367590270.0,45.0,,
UNCLE NU (TOW),624234,D,3,10/25/23 18:05,10/25/23 01:43,10/25/23 18:25,CST,367009460.0,46.0,,
BOBBY JONES (TOW),502672,D,3,10/25/23 17:25,10/25/23 01:37,10/25/23 18:00,CST,366919160.0,47.0,,
GEORGE ROWE (TOW),912893,U,2,10/25/23 19:51,10/24/23 20:46,10/25/23 20:00,CST,367014380.0,48.0,,
LINDA HUGHES FARLEY,1273622,D,2,10/25/23 05:50,10/24/23 20:21,10/25/23 06:25,CST,368142010.0,49.0,,
DODSON THORNTON,266269,D,3,10/25/23 16:00,10/24/23 20:04,10/25/23 16:20,CST,368120610.0,50.0,,
MISS CAROLINE (TOW 2014),1250509,D,2,10/25/23 03:10,10/24/23 19:46,10/25/23 03:35,CST,367610550.0,51.0,,
TERRY H,1252433,D,2,10/25/23 02:40,10/24/23 17:48,10/25/23 03:05,CST,367614880.0,52.0,,
