VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,SOL_DATE,END_OF_LOCKAGE,TIMEZONE,DELAY_MINS,SEQ_NO
DRUE ARAMISE,1307051,U,3,2023-09-20 21:43:00,2023-09-21 18:50:00,2023-09-21 19:10:00,CST,1267,-
NICHOLAS (TOW 2014) 65X28,1251897,U,0,2023-09-21 15:09:00,2023-09-21 18:40:00,2023-09-21 18:45:00,CST,211,-
NICEVILLE (TOW 76X35 2009),1221092,D,2,2023-09-20 23:16:00,2023-09-21 18:05:00,2023-09-21 18:35:00,CST,1129,-
AMERICAN CENTURY (TOW 2015),1261315,D,2,2023-09-21 05:30:00,2023-09-21 17:45:00,2023-09-21 18:00:00,CST,735,-
RICHARD B(55X22),5681300,U,0,2023-09-21 07:13:00,2023-09-21 07:14:00,2023-09-21 07:20:00,CST,1,-
RANDY ECKSTEIN (TOW),1164181,D,3,2023-09-20 22:02:00,2023-09-21 06:35:00,2023-09-21 06:45:00,CST,0,-
RANDY ECKSTEIN (TOW),1164181,D,3,2023-09-20 22:02:00,2023-09-21 05:46:00,2023-09-21 06:30:00,CST,464,-
REPOSE,1041355,U,5,2023-09-20 16:39:00,2023-09-21 05:00:00,2023-09-21 05:15:00,CST,0,-
REPOSE,1041355,U,4,2023-09-20 16:39:00,2023-09-21 04:41:00,2023-09-21 04:55:00,CST,722,-
GOOD SHEPHERD ( TOW ),1209074,D,2,2023-09-20 20:38:00,2023-09-21 04:00:00,2023-09-21 04:30:00,CST,442,-
AL CENAC,1316302,U,3,2023-09-20 15:18:00,2023-09-21 02:55:00,2023-09-21 03:25:00,CST,697,-
ROBERT ANTHONY ( TOW 2014),1256311,D,2,2023-09-20 19:56:00,2023-09-21 02:45:00,2023-09-21 02:55:00,CST,409,-
