VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,SOL_DATE,END_OF_LOCKAGE,TIMEZONE,DELAY_MINS,SEQ_NO
PETER BRENT ICE,1301258,D,2,2023-10-02 05:49:00,2023-10-02 07:45:00,2023-10-02 08:20:00,CST,116,-
CAPT DOUG WRIGHT,1202864,U,5,2023-10-02 05:28:00,2023-10-02 06:40:00,2023-10-02 07:15:00,CST,72,-
MISS WHITNEY (TOW),629534,U,1,2023-10-02 05:00:00,2023-10-02 06:13:00,2023-10-02 06:36:00,CST,73,-
SWEENEY,1252151,U,2,2023-10-02 04:28:00,2023-10-02 06:08:00,2023-10-02 06:32:00,CST,100,-
BELLE AMIE,1255924,D,0,2023-10-02 05:34:00,2023-10-02 05:51:00,2023-10-02 06:02:00,CST,17,-
CHIPPEWA,1262260,U,2,2023-10-02 01:54:00,2023-10-02 05:17:00,2023-10-02 05:48:00,CST,203,-
"NEIL MARTIN (TOW, 72'X30')",1254922,U,6,2023-10-02 01:02:00,2023-10-02 04:42:00,2023-10-02 05:04:00,CST,220,-
LIV (TOW 2015) 72X30,1261486,U,6,2023-10-02 00:13:00,2023-10-02 04:08:00,2023-10-02 04:37:00,CST,235,-
TIM TAUZIN (TOW 52X20),1048911,U,1,2023-10-02 00:09:00,2023-10-02 03:52:00,2023-10-02 04:30:00,CST,223,-
DANNY ETHERIDGE (TOW),271681,D,6,2023-10-01 22:37:00,2023-10-02 03:06:00,2023-10-02 03:38:00,CST,269,-
DRUE ARAMISE,1307051,D,3,2023-10-01 22:35:00,2023-10-02 02:31:00,2023-10-02 03:03:00,CST,236,-
DANNY TERRAL (TOW) 75X26,651548,D,6,2023-10-01 22:23:00,2023-10-02 01:55:00,2023-10-02 02:22:00,CST,212,-
MISS GABRIELLA,1265914,D,3,2023-10-01 22:11:00,2023-10-02 01:12:00,2023-10-02 01:43:00,CST,181,-
MICHELE GONSOULIN ( TOW ),1194788,D,2,2023-10-01 22:09:00,2023-10-02 00:47:00,2023-10-02 01:08:00,CST,158,-
REX,592021,U,0,2023-10-01 22:52:00,2023-10-01 23:48:00,2023-10-02 00:16:00,CST,56,-
RITA (TOW),544740,U,6,2023-10-01 21:22:00,2023-10-01 23:24:00,2023-10-02 00:13:00,CST,122,-
RENEE T WHATLEY (TOW),1194317,D,1,2023-10-01 21:01:00,2023-10-01 22:36:00,2023-10-01 22:59:00,CST,95,-
HOWARD BLANK (TOW 86X32),1221426,D,2,2023-10-01 20:37:00,2023-10-01 22:05:00,2023-10-01 22:28:00,CST,88,-
JERIS AUTHEMENT,1252182,U,2,2023-10-01 19:17:00,2023-10-01 21:13:00,2023-10-01 21:39:00,CST,116,-
LADY OF PERPETUAL HELP(TOW),1207724,U,6,2023-10-01 18:32:00,2023-10-01 20:08:00,2023-10-01 20:58:00,CST,96,-
CREOLE RIVERS (TOW),590667,U,1,2023-10-01 17:40:00,2023-10-01 19:50:00,2023-10-01 20:51:00,CST,130,-
CAPT. GREGORY PETER (TOW),1033115,U,1,2023-10-01 17:30:00,2023-10-01 19:42:00,2023-10-01 20:49:00,CST,132,-
TIM SCOTT,1253090,U,2,2023-10-01 16:32:00,2023-10-01 18:51:00,2023-10-01 19:34:00,CST,139,-
REDDING C,1049430,U,1,2023-10-01 15:02:00,2023-10-01 18:30:00,2023-10-01 19:28:00,CST,208,-
ZOIE (TOW),558543,D,4,2023-10-01 16:06:00,2023-10-01 17:49:00,2023-10-01 18:20:00,CST,103,-
ANDREW WALSH,1316597,D,2,2023-10-01 14:23:00,2023-10-01 17:30:00,2023-10-01 18:15:00,CST,187,-
