VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,SOL_DATE,END_OF_LOCKAGE,TIMEZONE,DELAY_MINS,SEQ_NO
EMILY WEBBER,1276027,D,2,2023-10-21 23:17:00,2023-10-21 23:43:00,2023-10-22 00:03:00,CST,26,-
EVERETT C (TOW 2018) 72X30,1281643,U,2,2023-10-21 21:04:00,2023-10-21 21:20:00,2023-10-21 21:44:00,CST,16,-
CAPT ANDY LAKE (TOW),1239502,U,2,2023-10-21 18:04:00,2023-10-21 19:55:00,2023-10-21 20:24:00,CST,111,-
PARKER JAMES (TOW 72' X 30'),1276020,D,4,2023-10-21 17:49:00,2023-10-21 19:08:00,2023-10-21 19:43:00,CST,79,-
MIKE MITCHELL,624349,U,5,2023-10-21 17:48:00,2023-10-21 18:20:00,2023-10-21 18:46:00,CST,32,-
AMERICAN WAY (TOW 2013),1251070,D,2,2023-10-21 17:36:00,2023-10-21 17:37:00,2023-10-21 18:15:00,CST,1,-
REBOUND,286204,D,6,2023-10-21 16:03:00,2023-10-21 16:24:00,2023-10-21 17:09:00,CST,21,-
KIMBERLY HIDALGO,1253551,U,1,2023-10-21 15:28:00,2023-10-21 16:10:00,2023-10-21 16:23:00,CST,42,-
STEVE RICHOUX (TOW),568988,U,6,2023-10-21 15:27:00,2023-10-21 15:28:00,2023-10-21 16:05:00,CST,1,-
MARK L DUPLANTIS,1209682,U,3,2023-10-21 10:28:00,2023-10-21 14:09:00,2023-10-21 14:34:00,CST,221,-
C J BOYNE (TOW),1102627,U,2,2023-10-21 03:04:00,2023-10-21 13:31:00,2023-10-21 14:04:00,CST,627,-
CHARLIE C (TOW),544273,U,6,2023-10-21 05:13:00,2023-10-21 12:09:00,2023-10-21 13:26:00,CST,416,-
LAFITTE,1242386,D,1,2023-10-02 06:56:00,2023-10-02 07:36:00,2023-10-02 07:55:00,CST,40,-
ASPEN (TOW 2016) 75X34,1270614,U,2,2023-10-02 06:36:00,2023-10-02 07:00:00,2023-10-02 07:26:00,CST,24,-
LAURENCE M GONSOULIN (TOW 2014,1252652,U,3,2023-10-02 06:16:00,2023-10-02 06:22:00,2023-10-02 06:58:00,CST,6,-
AL CENAC,1316302,U,3,2023-10-02 04:04:00,2023-10-02 04:50:00,2023-10-02 05:16:00,CST,46,-
JOHN DEMPSEY,1251693,U,2,2023-10-02 02:01:00,2023-10-02 02:40:00,2023-10-02 02:56:00,CST,39,-
ANITA EVE SHARP  (TOW 1985),680357,U,6,2023-10-02 01:31:00,2023-10-02 01:59:00,2023-10-02 02:35:00,CST,28,-
ANGELLE (TOW 56X22),616510,U,1,2023-10-01 23:36:00,2023-10-01 23:59:00,2023-10-02 00:10:00,CST,23,-
HIGH ISLAND (TOW 78X34)2012,1242165,U,2,2023-10-01 22:51:00,2023-10-01 23:38:00,2023-10-01 23:54:00,CST,47,-
PADDY (TOW 1996),1040254,U,2,2023-10-01 22:44:00,2023-10-01 23:12:00,2023-10-01 23:37:00,CST,28,-
VINCENT W. SAPP (TOW),1238918,D,2,2023-10-01 21:03:00,2023-10-01 21:29:00,2023-10-01 21:41:00,CST,26,-
DELACROIX,1256869,U,1,2023-10-01 18:28:00,2023-10-01 20:01:00,2023-10-01 20:19:00,CST,93,-
GOVERNOR MIKE HUCKABEE 80X30,1236450,U,2,2023-10-01 17:53:00,2023-10-01 19:38:00,2023-10-01 19:58:00,CST,105,-
MISS PEYTON,633411,D,2,2023-10-01 10:21:00,2023-10-01 19:02:00,2023-10-01 19:20:00,CST,521,-
SAN SALVADOR (TOW 2014) 83X32,1251397,D,2,2023-10-01 18:03:00,2023-10-01 18:42:00,2023-10-01 19:00:00,CST,39,-
CAPT JIMMY WARREN (TOW 2016),1265940,D,2,2023-10-01 17:11:00,2023-10-01 18:04:00,2023-10-01 18:31:00,CST,53,-
SWEENEY,1252151,U,2,2023-10-01 17:08:00,2023-10-01 17:37:00,2023-10-01 17:57:00,CST,29,-
NANCY SONIER (TOW 2014),1257032,D,2,2023-10-01 15:41:00,2023-10-01 17:09:00,2023-10-01 17:26:00,CST,88,-
JANE ANN BLESSEY (TOW),1111657,D,2,2023-10-01 14:51:00,2023-10-01 16:40:00,2023-10-01 17:07:00,CST,109,-
MISS WHITNEY (TOW),629534,U,1,2023-10-01 14:45:00,2023-10-01 15:49:00,2023-10-01 16:15:00,CST,64,-
RANDOLPH C,1261475,D,3,2023-10-01 14:41:00,2023-10-01 15:05:00,2023-10-01 15:42:00,CST,24,-
EL PASO (TOW),538582,D,1,2023-10-01 12:31:00,2023-10-01 14:38:00,2023-10-01 14:57:00,CST,127,-
SAVIOUR (TOW),1192584,D,6,2023-10-01 12:19:00,2023-10-01 14:01:00,2023-10-01 14:33:00,CST,102,-
ALLIE BROOKE DEVALL,1214852,D,4,2023-10-01 11:51:00,2023-10-01 13:14:00,2023-10-01 13:59:00,CST,83,-
TIM TAUZIN (TOW 52X20),1048911,U,1,2023-10-01 11:20:00,2023-10-01 12:45:00,2023-10-01 13:01:00,CST,85,-
GEORGE W BANTA (TOW),266928,D,3,2023-10-01 11:39:00,2023-10-01 12:20:00,2023-10-01 12:39:00,CST,41,-
ANGELLE (TOW 56X22),616510,D,2,2023-10-01 10:56:00,2023-10-01 11:52:00,2023-10-01 12:18:00,CST,56,-
CHIPPEWA,1262260,U,2,2023-10-01 10:19:00,2023-10-01 11:08:00,2023-10-01 11:35:00,CST,49,-
CAPT DOUG WRIGHT,1202864,U,5,2023-10-01 10:03:00,2023-10-01 10:30:00,2023-10-01 11:06:00,CST,27,-
Captain Brantley,1283861,D,2,2023-10-01 08:44:00,2023-10-01 09:46:00,2023-10-01 10:19:00,CST,62,-
MIA KELLEY ( TOW ),1188649,D,2,2023-10-01 07:45:00,2023-10-01 09:20:00,2023-10-01 09:46:00,CST,95,-
"NEIL MARTIN (TOW, 72'X30')",1254922,U,6,2023-10-01 07:08:00,2023-10-01 08:30:00,2023-10-01 09:02:00,CST,82,-
INNOVATOR (TOW 76X35),1244544,D,2,2023-10-01 07:19:00,2023-10-01 08:03:00,2023-10-01 08:20:00,CST,44,-
SARAH (TOW 1996),1046751,D,1,2023-10-01 06:35:00,2023-10-01 07:10:00,2023-10-01 08:01:00,CST,35,-
CREOLE RIVERS (TOW),590667,U,1,2023-10-01 06:31:00,2023-10-01 06:47:00,2023-10-01 07:04:00,CST,16,-
GOSIER,1242385,D,2,2023-10-01 06:03:00,2023-10-01 06:05:00,2023-10-01 06:39:00,CST,2,-
MALLORY BRADY,1269034,D,2,2023-10-01 05:22:00,2023-10-01 05:31:00,2023-10-01 06:04:00,CST,9,-
DRUM BAY,1238759,D,3,2023-10-01 03:22:00,2023-10-01 04:25:00,2023-10-01 05:28:00,CST,63,-
LADY OF PERPETUAL HELP(TOW),1207724,U,6,2023-10-01 02:27:00,2023-10-01 04:00:00,2023-10-01 04:24:00,CST,93,-
RITA (TOW),544740,U,6,2023-10-01 01:44:00,2023-10-01 03:37:00,2023-10-01 03:58:00,CST,113,-
MISS BETH (TOW),641329,U,1,2023-10-01 01:40:00,2023-10-01 02:52:00,2023-10-01 03:35:00,CST,72,-
PABST,573052,D,2,2023-10-01 01:21:00,2023-10-01 02:25:00,2023-10-01 02:50:00,CST,64,-
WOOD RIVER (TOW 2012),1233527,D,2,2023-10-01 01:10:00,2023-10-01 02:15:00,2023-10-01 02:48:00,CST,65,-
THREE RIVERS (TOW 2013) 78X34,1250092,D,2,2023-10-01 01:01:00,2023-10-01 01:40:00,2023-10-01 02:12:00,CST,39,-
TIM SCOTT,1253090,U,2,2023-10-01 00:31:00,2023-10-01 01:18:00,2023-10-01 01:39:00,CST,47,-
REDDING C,1049430,U,1,2023-10-01 00:28:00,2023-10-01 00:55:00,2023-10-01 01:13:00,CST,27,-
LIV (TOW 2015) 72X30,1261486,U,6,2023-10-01 00:00:00,2023-10-01 00:01:00,2023-10-01 00:53:00,CST,1,-
JADEN PASENTINE,1296289,D,2,2023-09-30 22:18:00,2023-09-30 22:53:00,2023-09-30 23:55:00,CST,35,-
JERIS AUTHEMENT,1252182,U,2,2023-09-30 21:06:00,2023-09-30 22:20:00,2023-09-30 22:52:00,CST,74,-
RAY S (TOW 2017),1282990,U,3,2023-09-30 21:02:00,2023-09-30 21:56:00,2023-09-30 22:19:00,CST,54,-
MARTIN CHALLENGER (TOW),1051672,U,2,2023-09-30 20:09:00,2023-09-30 21:02:00,2023-09-30 21:54:00,CST,53,-
JACKIE (TOW 2005),1171264,D,2,2023-09-30 19:53:00,2023-09-30 20:28:00,2023-09-30 21:00:00,CST,35,-
LANEY BLESSEY WATKINS ( TOW),1251462,D,2,2023-09-30 19:46:00,2023-09-30 19:52:00,2023-09-30 20:27:00,CST,6,-
